1,Bulbasaur,1,0.7,6.9,"Overgrow, Chlorophyll ",Seed Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/0.png
2,Ivysaur,1,1,13,"Overgrow, Chlorophyll ",Seed Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
3,Venusaur,1,2,100,"Overgrow, Chlorophyll ",Seed Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
4,Charmander,1,0.6,8.5,"Blaze, Solar Power ",Lizard Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
5,Charmeleon,1,1.1,19,"Blaze, Solar Power ",Flame Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
6,Charizard,1,1.7,90.5,"Blaze, Solar Power ",Flame Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
7,Squirtle,1,0.5,9,"Torrent, Rain Dish ",Tiny Turtle Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
8,Wartortle,1,1,22.5,"Torrent, Rain Dish ",Turtle Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
9,Blastoise,1,1.6,85.5,"Torrent, Rain Dish ",Shellfish Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
10,Caterpie,1,0.3,2.9,"Shield Dust, Run Away ",Worm Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
11,Metapod,1,0.7,9.9,Shed Skin ,Cocoon Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
12,Butterfree,1,1.1,32,"Compoundeyes, Tinted Lens ",Butterfly Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
13,Weedle,1,0.3,3.2,"Shield Dust, Run Away ",Hairy Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
14,Kakuna,1,0.6,10,Shed Skin ,Cocoon Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
15,Beedrill,1,1,29.5,"Swarm, Sniper ",Poison Bee Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
16,Pidgey,1,0.3,1.8,"Keen Eye, Tangled Feet, Big Pecks ",Tiny Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
17,Pidgeotto,1,1.1,30,"Keen Eye, Tangled Feet, Big Pecks ",Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
18,Pidgeot,1,1.5,39.5,"Keen Eye, Tangled Feet, Big Pecks ",Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
19,Rattata,1,0.3,3.5,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
20,Raticate,1,0.7,18.5,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
21,Spearow,1,0.3,2,"Keen Eye, Sniper ",Tiny Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
22,Fearow,1,1.2,38,"Keen Eye, Sniper ",Beak Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
23,Ekans,1,2,6.9,"Intimidate, Shed Skin, Unnerve ",Snake Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
24,Arbok,1,3.5,65,"Intimidate, Shed Skin, Unnerve ",Cobra Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
25,Pikachu,1,0.4,6,"Static, Lightningrod ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
26,Raichu,1,0.8,30,"Static, Lightningrod, Surge Surfer ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
27,Sandshrew,1,0.6,12,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
28,Sandslash,1,1,29.5,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush ",Mouse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
29,Nidoranâ™€,1,0.4,7,"Poison Point, Rivalry, Hustle ",Poison Pin Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
30,Nidorina,1,0.8,20,"Poison Point, Rivalry, Hustle ",Poison Pin Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
31,Nidoqueen,1,1.3,60,"Poison Point, Rivalry, Sheer Force ",Drill Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
32,Nidoranâ™‚,1,0.5,9,"Poison Point, Rivalry, Hustle ",Poison Pin Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
33,Nidorino,1,0.9,19.5,"Poison Point, Rivalry, Hustle ",Poison Pin Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
34,Nidoking,1,1.4,62,"Poison Point, Rivalry, Sheer Force ",Drill Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
35,Clefairy,1,0.6,7.5,"Cute Charm, Magic Guard, Friend Guard ",Fairy Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
36,Clefable,1,1.3,40,"Cute Charm, Magic Guard, Unaware ",Fairy Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
37,Vulpix,1,0.6,9.9,"Flash Fire, Drought, Snow Cloak, Snow Warning ",Fox Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
38,Ninetales,1,1.1,19.9,"Flash Fire, Drought, Snow Cloak, Snow Warning ",Fox Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
39,Jigglypuff,1,0.5,5.5,"Cute Charm, Competitive, Friend Guard ",Balloon Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
40,Wigglytuff,1,1,12,"Cute Charm, Competitive, Frisk ",Balloon Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
41,Zubat,1,0.8,7.5,"Inner Focus, Infiltrator ",Bat Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
42,Golbat,1,1.6,55,"Inner Focus, Infiltrator ",Bat Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
43,Oddish,1,0.5,5.4,"Chlorophyll, Run Away ",Weed Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
44,Gloom,1,0.8,8.6,"Chlorophyll, Stench ",Weed Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
45,Vileplume,1,1.2,18.6,"Chlorophyll, Effect Spore ",Flower Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
46,Paras,1,0.3,5.4,"Effect Spore, Dry Skin, Damp ",Mushroom Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
47,Parasect,1,1,29.5,"Effect Spore, Dry Skin, Damp ",Mushroom Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
48,Venonat,1,1,30,"Compoundeyes, Tinted Lens, Run Away ",Insect Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
49,Venomoth,1,1.5,12.5,"Shield Dust, Tinted Lens, Wonder Skin  ",Poison Moth Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
50,Diglett,1,0.2,0.8,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force ",Mole Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
51,Dugtrio,1,0.7,33.3,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force ",Mole Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
52,Meowth,1,0.4,4.2,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled ",Scratch Cat Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
53,Persian,1,1,32,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled ",Classy Cat Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
54,Psyduck,1,0.8,19.6,"Damp, Cloud Nine, Swift Swim ",Duck Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
55,Golduck,1,1.7,76.6,"Damp, Cloud Nine, Swift Swim ",Duck Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
56,Mankey,1,0.5,28,"Vital Spirit, Anger Point, Defiant ",Pig Monkey Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
57,Primeape,1,1,32,"Vital Spirit, Anger Point, Defiant ",Pig Monkey Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
58,Growlithe,1,0.7,19,"Intimidate, Flash Fire, Justified ",Puppy Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
59,Arcanine,1,1.9,155,"Intimidate, Flash Fire, Justified ",Legendary Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
60,Poliwag,1,0.6,12.4,"Water Absorb, Damp, Swift Swim ",Tadpole Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
61,Poliwhirl,1,1,20,"Water Absorb, Damp, Swift Swim ",Tadpole Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
62,Poliwrath,1,1.3,54,"Water Absorb, Damp, Swift Swim ",Tadpole Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
63,Abra,1,0.9,19.5,"Synchronize, Inner Focus, Magic Guard ",Psi Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
64,Kadabra,1,1.3,56.5,"Synchronize, Inner Focus, Magic Guard ",Psi Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
65,Alakazam,1,1.5,48,"Synchronize, Inner Focus, Magic Guard ",Psi Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
66,Machop,1,0.8,19.5,"Guts, No Guard, Steadfast ",Superpower Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
67,Machoke,1,1.5,70.5,"Guts, No Guard, Steadfast ",Superpower Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
68,Machamp,1,1.6,130,"Guts, No Guard, Steadfast ",Superpower Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
69,Bellsprout,1,0.7,4,"Chlorophyll, Gluttony ",Flower Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
70,Weepinbell,1,1,6.4,"Chlorophyll, Gluttony ",Flycatcher Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
71,Victreebel,1,1.7,15.5,"Chlorophyll, Gluttony ",Flycatcher Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
72,Tentacool,1,0.9,45.5,"Clear Body, Liquid Ooze, Rain Dish ",Jellyfish Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
73,Tentacruel,1,1.6,55,"Clear Body, Liquid Ooze, Rain Dish ",Jellyfish Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
74,Geodude,1,0.4,20,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize ",Rock Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
75,Graveler,1,1,105,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize ",Rock Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
76,Golem,1,1.4,300,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize ",Megaton Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
77,Ponyta,1,1,30,"Run Away, Flash Fire, Flame Body ",Fire Horse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
78,Rapidash,1,1.7,95,"Run Away, Flash Fire, Flame Body ",Fire Horse Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
79,Slowpoke,1,1.2,36,"Oblivious, Own Tempo, Regenerator ",Dopey Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
80,Slowbro,1,1.6,78.5,"Oblivious, Own Tempo, Regenerator ",Hermit Crab Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
81,Magnemite,1,0.3,6,"Magnet Pull, Sturdy, Analytic ",Magnet Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
82,Magneton,1,1,60,"Magnet Pull, Sturdy, Analytic ",Magnet Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
83,Farfetch'd,1,0.8,15,"Keen Eye, Inner Focus, Defiant ",Wild Duck Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
84,Doduo,1,1.4,39.2,"Run Away, Early Bird, Tangled Feet ",Twin Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
85,Dodrio,1,1.8,85.2,"Run Away, Early Bird, Tangled Feet ",Triple Bird Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
86,Seel,1,1.1,90,"Thick Fat, Hydration, Ice Body ",Sea Lion Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
87,Dewgong,1,1.7,120,"Thick Fat, Hydration, Ice Body ",Sea Lion Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
88,Grimer,1,0.9,30,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power of Alchemy ",Sludge Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
89,Muk,1,1.2,30,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power of Alchemy ",Sludge Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
90,Shellder,1,0.3,4,"Shell Armor, Skill Link, Overcoat ",Bivalve Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
91,Cloyster,1,1.5,132.5,"Shell Armor, Skill Link, Overcoat ",Bivalve Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
92,Gastly,1,1.3,0.1,Levitate ,Gas Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
93,Haunter,1,1.6,0.1,Levitate ,Gas Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
94,Gengar,1,1.5,40.5,Cursed Body ,Shadow Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
95,Onix,1,8.8,210,"Rock Head, Sturdy, Weak Armor ",Rock Snake Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
96,Drowzee,1,1,32.4,"Insomnia, Forewarn, Inner Focus ",Hypnosis Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
97,Hypno,1,1.6,75.6,"Insomnia, Forewarn, Inner Focus ",Hypnosis Pokemon,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
